Year,Region,Fuel_Type,Transmission,Model,Price_USD,Type
2015,Asia,Electric,Automatic,i3,32069,Actual
2016,Asia,Electric,Automatic,i3,90681,Actual
2017,Asia,Electric,Automatic,i3,80510,Actual
2018,Asia,Electric,Automatic,i3,72155,Actual
2019,Asia,Electric,Automatic,i3,81332,Actual
2020,Asia,Electric,Automatic,i3,65014,Actual
2021,Asia,Electric,Automatic,i3,60451,Actual
2022,Asia,Electric,Automatic,i3,63463,Actual
2023,Asia,Electric,Automatic,i3,69219,Actual
2024,Asia,Electric,Automatic,i3,61410,Actual
2025,Asia,Electric,Automatic,i3,61155,Forecast
2026,Asia,Electric,Automatic,i3,59697,Forecast
2027,Asia,Electric,Automatic,i3,58238,Forecast
2010,Asia,Electric,Manual,i3,92612,Actual
2011,Asia,Electric,Manual,i3,76895,Actual
2012,Asia,Electric,Manual,i3,81628,Actual
2013,Asia,Electric,Manual,i3,88594,Actual
2014,Asia,Electric,Manual,i3,53852,Actual
2015,Asia,Electric,Manual,i3,66995,Actual
2016,Asia,Electric,Manual,i3,75520,Actual
2017,Asia,Electric,Manual,i3,94776,Actual
2018,Asia,Electric,Manual,i3,97274,Actual
2019,Asia,Electric,Manual,i3,71081,Actual
2020,Asia,Electric,Manual,i3,74209,Actual
2021,Asia,Electric,Manual,i3,82750,Actual
2022,Asia,Electric,Manual,i3,51662,Actual
2023,Asia,Electric,Manual,i3,85348,Actual
2024,Asia,Electric,Manual,i3,84369,Actual
2025,Asia,Electric,Manual,i3,82629,Forecast
2026,Asia,Electric,Manual,i3,85249,Forecast
2027,Asia,Electric,Manual,i3,87869,Forecast
2010,Asia,Hybrid,Automatic,i3,72359,Actual
2011,Asia,Hybrid,Automatic,i3,76072,Actual
2012,Asia,Hybrid,Automatic,i3,56222,Actual
2013,Asia,Hybrid,Automatic,i3,77120,Actual
2014,Asia,Hybrid,Automatic,i3,76132,Actual
2015,Asia,Hybrid,Automatic,i3,74462,Actual
2016,Asia,Hybrid,Automatic,i3,90547,Actual
2017,Asia,Hybrid,Automatic,i3,79503,Actual
2018,Asia,Hybrid,Automatic,i3,100810,Actual
2019,Asia,Hybrid,Automatic,i3,81989,Actual
2020,Asia,Hybrid,Automatic,i3,76152,Actual
2021,Asia,Hybrid,Automatic,i3,80651,Actual
2022,Asia,Hybrid,Automatic,i3,100305,Actual
2023,Asia,Hybrid,Automatic,i3,57017,Actual
2024,Asia,Hybrid,Automatic,i3,86257,Actual
2025,Asia,Hybrid,Automatic,i3,77288,Forecast
2026,Asia,Hybrid,Automatic,i3,76283,Forecast
2027,Asia,Hybrid,Automatic,i3,75278,Forecast
2010,Asia,Hybrid,Manual,i3,75830,Actual
2011,Asia,Hybrid,Manual,i3,75251,Actual
2012,Asia,Hybrid,Manual,i3,72899,Actual
2013,Asia,Hybrid,Manual,i3,97328,Actual
2014,Asia,Hybrid,Manual,i3,81026,Actual
2015,Asia,Hybrid,Manual,i3,68269,Actual
2016,Asia,Hybrid,Manual,i3,97743,Actual
2017,Asia,Hybrid,Manual,i3,85389,Actual
2018,Asia,Hybrid,Manual,i3,79620,Actual
2019,Asia,Hybrid,Manual,i3,75224,Actual
2020,Asia,Hybrid,Manual,i3,76014,Actual
2021,Asia,Hybrid,Manual,i3,86840,Actual
2022,Asia,Hybrid,Manual,i3,64218,Actual
2023,Asia,Hybrid,Manual,i3,87936,Actual
2024,Asia,Hybrid,Manual,i3,61917,Actual
2025,Asia,Hybrid,Manual,i3,66242,Forecast
2026,Asia,Hybrid,Manual,i3,62868,Forecast
2027,Asia,Hybrid,Manual,i3,59494,Forecast
2010,Asia,Petrol,Automatic,i3,80375,Actual
2011,Asia,Petrol,Automatic,i3,71885,Actual
2012,Asia,Petrol,Automatic,i3,95860,Actual
2013,Asia,Petrol,Automatic,i3,73762,Actual
2014,Asia,Petrol,Automatic,i3,49756,Actual
2015,Asia,Petrol,Automatic,i3,95566,Actual
2016,Asia,Petrol,Automatic,i3,83240,Actual
2017,Asia,Petrol,Automatic,i3,89828,Actual
2018,Asia,Petrol,Automatic,i3,78951,Actual
2019,Asia,Petrol,Automatic,i3,66480,Actual
2020,Asia,Petrol,Automatic,i3,70636,Actual
2021,Asia,Petrol,Automatic,i3,64886,Actual
2022,Asia,Petrol,Automatic,i3,95472,Actual
2023,Asia,Petrol,Automatic,i3,72905,Actual
2024,Asia,Petrol,Automatic,i3,80199,Actual
2025,Asia,Petrol,Automatic,i3,80956,Forecast
2026,Asia,Petrol,Automatic,i3,82156,Forecast
2027,Asia,Petrol,Automatic,i3,83356,Forecast
2010,Asia,Petrol,Manual,i3,82907,Actual
2011,Asia,Petrol,Manual,i3,74079,Actual
2012,Asia,Petrol,Manual,i3,70507,Actual
2013,Asia,Petrol,Manual,i3,82454,Actual
2014,Asia,Petrol,Manual,i3,61388,Actual
2015,Asia,Petrol,Manual,i3,89619,Actual
2016,Asia,Petrol,Manual,i3,75091,Actual
2017,Asia,Petrol,Manual,i3,66643,Actual
2018,Asia,Petrol,Manual,i3,68264,Actual
2019,Asia,Petrol,Manual,i3,86316,Actual
2020,Asia,Petrol,Manual,i3,71051,Actual
2021,Asia,Petrol,Manual,i3,58853,Actual
2022,Asia,Petrol,Manual,i3,89776,Actual
2023,Asia,Petrol,Manual,i3,43939,Actual
2024,Asia,Petrol,Manual,i3,75310,Actual
2025,Asia,Petrol,Manual,i3,65712,Forecast
2026,Asia,Petrol,Manual,i3,65065,Forecast
2027,Asia,Petrol,Manual,i3,64418,Forecast
2010,Asia,Diesel,Automatic,i8,74673,Actual
2011,Asia,Diesel,Automatic,i8,57994,Actual
2012,Asia,Diesel,Automatic,i8,80065,Actual
2013,Asia,Diesel,Automatic,i8,73554,Actual
2014,Asia,Diesel,Automatic,i8,70215,Actual
2015,Asia,Diesel,Automatic,i8,83056,Actual
2016,Asia,Diesel,Automatic,i8,75356,Actual
2017,Asia,Diesel,Automatic,i8,76217,Actual
2018,Asia,Diesel,Automatic,i8,88178,Actual
2019,Asia,Diesel,Automatic,i8,81036,Actual
2020,Asia,Diesel,Automatic,i8,113165,Actual
2021,Asia,Diesel,Automatic,i8,78856,Actual
2022,Asia,Diesel,Automatic,i8,86826,Actual
2023,Asia,Diesel,Automatic,i8,69762,Actual
2024,Asia,Diesel,Automatic,i8,72789,Actual
2025,Asia,Diesel,Automatic,i8,67710,Forecast
2026,Asia,Diesel,Automatic,i8,62848,Forecast
2027,Asia,Diesel,Automatic,i8,57987,Forecast
2010,Asia,Diesel,Manual,i8,88156,Actual
2011,Asia,Diesel,Manual,i8,80403,Actual
2012,Asia,Diesel,Manual,i8,80383,Actual
2013,Asia,Diesel,Manual,i8,68916,Actual
2014,Asia,Diesel,Manual,i8,62120,Actual
2015,Asia,Diesel,Manual,i8,88604,Actual
2016,Asia,Diesel,Manual,i8,79997,Actual
2017,Asia,Diesel,Manual,i8,76930,Actual
2018,Asia,Diesel,Manual,i8,91609,Actual
2019,Asia,Diesel,Manual,i8,80304,Actual
2020,Asia,Diesel,Manual,i8,47484,Actual
2021,Asia,Diesel,Manual,i8,82960,Actual
2022,Asia,Diesel,Manual,i8,81021,Actual
2023,Asia,Diesel,Manual,i8,69566,Actual
2024,Asia,Diesel,Manual,i8,91766,Actual
2025,Asia,Diesel,Manual,i8,87942,Forecast
2026,Asia,Diesel,Manual,i8,91902,Forecast
2027,Asia,Diesel,Manual,i8,95862,Forecast
2010,Asia,Electric,Automatic,i8,75854,Actual
2011,Asia,Electric,Automatic,i8,81286,Actual
2012,Asia,Electric,Automatic,i8,70947,Actual
2013,Asia,Electric,Automatic,i8,78244,Actual
2014,Asia,Electric,Automatic,i8,72578,Actual
2015,Asia,Electric,Automatic,i8,88696,Actual
2016,Asia,Electric,Automatic,i8,77929,Actual
2017,Asia,Electric,Automatic,i8,63901,Actual
2018,Asia,Electric,Automatic,i8,84635,Actual
2019,Asia,Electric,Automatic,i8,84814,Actual
2020,Asia,Electric,Automatic,i8,79318,Actual
2021,Asia,Electric,Automatic,i8,74754,Actual
2022,Asia,Electric,Automatic,i8,77792,Actual
2023,Asia,Electric,Automatic,i8,76438,Actual
2024,Asia,Electric,Automatic,i8,78757,Actual
2025,Asia,Electric,Automatic,i8,77540,Forecast
2026,Asia,Electric,Automatic,i8,77496,Forecast
2027,Asia,Electric,Automatic,i8,77451,Forecast
2010,Asia,Electric,Manual,i8,65992,Actual
2011,Asia,Electric,Manual,i8,66597,Actual
2012,Asia,Electric,Manual,i8,71788,Actual
2013,Asia,Electric,Manual,i8,76643,Actual
2014,Asia,Electric,Manual,i8,60521,Actual
2015,Asia,Electric,Manual,i8,85589,Actual
2016,Asia,Electric,Manual,i8,55281,Actual
2017,Asia,Electric,Manual,i8,71063,Actual
2018,Asia,Electric,Manual,i8,67024,Actual
2019,Asia,Electric,Manual,i8,79083,Actual
2020,Asia,Electric,Manual,i8,75445,Actual
2022,Asia,Electric,Manual,i8,65044,Actual
2023,Asia,Electric,Manual,i8,82812,Actual
2024,Asia,Electric,Manual,i8,73240,Actual
2025,Asia,Electric,Manual,i8,76566,Forecast
2026,Asia,Electric,Manual,i8,77320,Forecast
2027,Asia,Electric,Manual,i8,78075,Forecast
2010,Asia,Hybrid,Automatic,i8,95690,Actual
2011,Asia,Hybrid,Automatic,i8,91729,Actual
2012,Asia,Hybrid,Automatic,i8,88064,Actual
2013,Asia,Hybrid,Automatic,i8,94572,Actual
2014,Asia,Hybrid,Automatic,i8,65342,Actual
2015,Asia,Hybrid,Automatic,i8,67559,Actual
2016,Asia,Hybrid,Automatic,i8,74538,Actual
2017,Asia,Hybrid,Automatic,i8,76969,Actual
2018,Asia,Hybrid,Automatic,i8,70176,Actual
2019,Asia,Hybrid,Automatic,i8,74133,Actual
2020,Asia,Hybrid,Automatic,i8,82302,Actual
2021,Asia,Hybrid,Automatic,i8,77164,Actual
2022,Asia,Hybrid,Automatic,i8,68977,Actual
2023,Asia,Hybrid,Automatic,i8,82674,Actual
2024,Asia,Hybrid,Automatic,i8,83179,Actual
2025,Asia,Hybrid,Automatic,i8,84005,Forecast
2026,Asia,Hybrid,Automatic,i8,86158,Forecast
2027,Asia,Hybrid,Automatic,i8,88311,Forecast
2010,Asia,Hybrid,Manual,i8,71179,Actual
2011,Asia,Hybrid,Manual,i8,76101,Actual
2012,Asia,Hybrid,Manual,i8,65424,Actual
2013,Asia,Hybrid,Manual,i8,77270,Actual
2014,Asia,Hybrid,Manual,i8,69259,Actual
2015,Asia,Hybrid,Manual,i8,70352,Actual
2016,Asia,Hybrid,Manual,i8,67527,Actual
2017,Asia,Hybrid,Manual,i8,62501,Actual
2018,Asia,Hybrid,Manual,i8,76436,Actual
2019,Asia,Hybrid,Manual,i8,88779,Actual
2020,Asia,Hybrid,Manual,i8,62354,Actual
2021,Asia,Hybrid,Manual,i8,78496,Actual
2022,Asia,Hybrid,Manual,i8,78455,Actual
2023,Asia,Hybrid,Manual,i8,97535,Actual
2024,Asia,Hybrid,Manual,i8,86273,Actual
2025,Asia,Hybrid,Manual,i8,93592,Forecast
2026,Asia,Hybrid,Manual,i8,97055,Forecast
2027,Asia,Hybrid,Manual,i8,100518,Forecast
2010,Asia,Petrol,Automatic,i8,83937,Actual
2011,Asia,Petrol,Automatic,i8,57485,Actual
2012,Asia,Petrol,Automatic,i8,70312,Actual
2013,Asia,Petrol,Automatic,i8,69388,Actual
2014,Asia,Petrol,Automatic,i8,71345,Actual
2015,Asia,Petrol,Automatic,i8,76601,Actual
2016,Asia,Petrol,Automatic,i8,84789,Actual
2017,Asia,Petrol,Automatic,i8,77778,Actual
2018,Asia,Petrol,Automatic,i8,80070,Actual
2019,Asia,Petrol,Automatic,i8,68651,Actual
2020,Asia,Petrol,Automatic,i8,92026,Actual
2021,Asia,Petrol,Automatic,i8,89310,Actual
2022,Asia,Petrol,Automatic,i8,70388,Actual
2023,Asia,Petrol,Automatic,i8,56484,Actual
2024,Asia,Petrol,Automatic,i8,83025,Actual
2025,Asia,Petrol,Automatic,i8,72312,Forecast
2026,Asia,Petrol,Automatic,i8,71589,Forecast
2027,Asia,Petrol,Automatic,i8,70866,Forecast
2010,Asia,Petrol,Manual,i8,69018,Actual
2011,Asia,Petrol,Manual,i8,77926,Actual
2012,Asia,Petrol,Manual,i8,67839,Actual
2013,Asia,Petrol,Manual,i8,81557,Actual
2014,Asia,Petrol,Manual,i8,65146,Actual
2015,Asia,Petrol,Manual,i8,72051,Actual
2016,Asia,Petrol,Manual,i8,79655,Actual
2017,Asia,Petrol,Manual,i8,79246,Actual
2018,Asia,Petrol,Manual,i8,71603,Actual
2019,Asia,Petrol,Manual,i8,81707,Actual
2020,Asia,Petrol,Manual,i8,67803,Actual
2021,Asia,Petrol,Manual,i8,60883,Actual
2022,Asia,Petrol,Manual,i8,66222,Actual
2023,Asia,Petrol,Manual,i8,97696,Actual
2024,Asia,Petrol,Manual,i8,75560,Actual
2025,Asia,Petrol,Manual,i8,83630,Forecast
2026,Asia,Petrol,Manual,i8,86307,Forecast
2027,Asia,Petrol,Manual,i8,88984,Forecast
2010,Europe,Diesel,Automatic,3 Series,65910,Actual
2011,Europe,Diesel,Automatic,3 Series,89488,Actual
2012,Europe,Diesel,Automatic,3 Series,71855,Actual
2013,Europe,Diesel,Automatic,3 Series,84063,Actual
2014,Europe,Diesel,Automatic,3 Series,77374,Actual
2015,Europe,Diesel,Automatic,3 Series,43390,Actual
2016,Europe,Diesel,Automatic,3 Series,76335,Actual
2017,Europe,Diesel,Automatic,3 Series,73861,Actual
2018,Europe,Diesel,Automatic,3 Series,76474,Actual
2019,Europe,Diesel,Automatic,3 Series,99987,Actual
2020,Europe,Diesel,Automatic,3 Series,78582,Actual
2021,Europe,Diesel,Automatic,3 Series,92899,Actual
2022,Europe,Diesel,Automatic,3 Series,77180,Actual
2023,Europe,Diesel,Automatic,3 Series,80330,Actual
2024,Europe,Diesel,Automatic,3 Series,97601,Actual
2025,Europe,Diesel,Automatic,3 Series,93475,Forecast
2026,Europe,Diesel,Automatic,3 Series,96231,Forecast
2027,Europe,Diesel,Automatic,3 Series,98986,Forecast
2010,Europe,Diesel,Manual,3 Series,119068,Actual
2011,Europe,Diesel,Manual,3 Series,80414,Actual
2012,Europe,Diesel,Manual,3 Series,85730,Actual
2013,Europe,Diesel,Manual,3 Series,76686,Actual
2014,Europe,Diesel,Manual,3 Series,93546,Actual
2015,Europe,Diesel,Manual,3 Series,81153,Actual
2016,Europe,Diesel,Manual,3 Series,78152,Actual
2017,Europe,Diesel,Manual,3 Series,82472,Actual
2018,Europe,Diesel,Manual,3 Series,90943,Actual
2019,Europe,Diesel,Manual,3 Series,79027,Actual
2020,Europe,Diesel,Manual,3 Series,87921,Actual
2021,Europe,Diesel,Manual,3 Series,90606,Actual
2022,Europe,Diesel,Manual,3 Series,66858,Actual
2023,Europe,Diesel,Manual,3 Series,75047,Actual
2024,Europe,Diesel,Manual,3 Series,100581,Actual
2025,Europe,Diesel,Manual,3 Series,92555,Forecast
2026,Europe,Diesel,Manual,3 Series,96428,Forecast
2027,Europe,Diesel,Manual,3 Series,100302,Forecast
2010,Europe,Electric,Automatic,3 Series,80065,Actual
2011,Europe,Electric,Automatic,3 Series,57784,Actual
2012,Europe,Electric,Automatic,3 Series,74055,Actual
2013,Europe,Electric,Automatic,3 Series,66784,Actual
2014,Europe,Electric,Automatic,3 Series,72868,Actual
2015,Europe,Electric,Automatic,3 Series,97310,Actual
2016,Europe,Electric,Automatic,3 Series,72871,Actual
2017,Europe,Electric,Automatic,3 Series,75626,Actual
2018,Europe,Electric,Automatic,3 Series,69612,Actual
2019,Europe,Electric,Automatic,3 Series,68300,Actual
2020,Europe,Electric,Automatic,3 Series,73605,Actual
2021,Europe,Electric,Automatic,3 Series,70507,Actual
2022,Europe,Electric,Automatic,3 Series,75445,Actual
2023,Europe,Electric,Automatic,3 Series,73593,Actual
2024,Europe,Electric,Automatic,3 Series,53385,Actual
2025,Europe,Electric,Automatic,3 Series,57284,Forecast
2026,Europe,Electric,Automatic,3 Series,52878,Forecast
2027,Europe,Electric,Automatic,3 Series,48471,Forecast
2010,Europe,Electric,Manual,3 Series,51782,Actual
2011,Europe,Electric,Manual,3 Series,68868,Actual
2012,Europe,Electric,Manual,3 Series,69169,Actual
2013,Europe,Electric,Manual,3 Series,68709,Actual
2014,Europe,Electric,Manual,3 Series,95560,Actual
2015,Europe,Electric,Manual,3 Series,71758,Actual
2016,Europe,Electric,Manual,3 Series,81346,Actual
2017,Europe,Electric,Manual,3 Series,68623,Actual
2018,Europe,Electric,Manual,3 Series,68379,Actual
2019,Europe,Electric,Manual,3 Series,89304,Actual
2020,Europe,Electric,Manual,3 Series,86403,Actual
2021,Europe,Electric,Manual,3 Series,65499,Actual
2022,Europe,Electric,Manual,3 Series,79735,Actual
2023,Europe,Electric,Manual,3 Series,64014,Actual
2024,Europe,Electric,Manual,3 Series,69515,Actual
2025,Europe,Electric,Manual,3 Series,65449,Forecast
2026,Europe,Electric,Manual,3 Series,62985,Forecast
2027,Europe,Electric,Manual,3 Series,60520,Forecast
2010,Europe,Hybrid,Automatic,3 Series,75042,Actual
2011,Europe,Hybrid,Automatic,3 Series,79142,Actual
2012,Europe,Hybrid,Automatic,3 Series,70985,Actual
2013,Europe,Hybrid,Automatic,3 Series,70227,Actual
2014,Europe,Hybrid,Automatic,3 Series,76883,Actual
2015,Europe,Hybrid,Automatic,3 Series,86703,Actual
2016,Europe,Hybrid,Automatic,3 Series,59423,Actual
2017,Europe,Hybrid,Automatic,3 Series,78210,Actual
2018,Europe,Hybrid,Automatic,3 Series,84491,Actual
2019,Europe,Hybrid,Automatic,3 Series,66430,Actual
2020,Europe,Hybrid,Automatic,3 Series,80895,Actual
2021,Europe,Hybrid,Automatic,3 Series,80298,Actual
2022,Europe,Hybrid,Automatic,3 Series,77024,Actual
2023,Europe,Hybrid,Automatic,3 Series,75942,Actual
2024,Europe,Hybrid,Automatic,3 Series,78821,Actual
2025,Europe,Hybrid,Automatic,3 Series,78293,Forecast
2026,Europe,Hybrid,Automatic,3 Series,78510,Forecast
2027,Europe,Hybrid,Automatic,3 Series,78727,Forecast
2010,Europe,Hybrid,Manual,3 Series,76415,Actual
2011,Europe,Hybrid,Manual,3 Series,82782,Actual
2012,Europe,Hybrid,Manual,3 Series,71624,Actual
2013,Europe,Hybrid,Manual,3 Series,69290,Actual
2014,Europe,Hybrid,Manual,3 Series,58317,Actual
2015,Europe,Hybrid,Manual,3 Series,67929,Actual
2016,Europe,Hybrid,Manual,3 Series,86240,Actual
2017,Europe,Hybrid,Manual,3 Series,75088,Actual
2018,Europe,Hybrid,Manual,3 Series,97319,Actual
2019,Europe,Hybrid,Manual,3 Series,73010,Actual
2020,Europe,Hybrid,Manual,3 Series,90647,Actual
2021,Europe,Hybrid,Manual,3 Series,74920,Actual
2022,Europe,Hybrid,Manual,3 Series,73663,Actual
2023,Europe,Hybrid,Manual,3 Series,79737,Actual
2024,Europe,Hybrid,Manual,3 Series,71262,Actual
2025,Europe,Hybrid,Manual,3 Series,70911,Forecast
2026,Europe,Hybrid,Manual,3 Series,68604,Forecast
2027,Europe,Hybrid,Manual,3 Series,66296,Forecast
2010,Europe,Petrol,Automatic,3 Series,89390,Actual
2011,Europe,Petrol,Automatic,3 Series,55027,Actual
2012,Europe,Petrol,Automatic,3 Series,68500,Actual
2013,Europe,Petrol,Automatic,3 Series,68562,Actual
2014,Europe,Petrol,Automatic,3 Series,70748,Actual
2015,Europe,Petrol,Automatic,3 Series,88936,Actual
2016,Europe,Petrol,Automatic,3 Series,63253,Actual
2017,Europe,Petrol,Automatic,3 Series,88024,Actual
2018,Europe,Petrol,Automatic,3 Series,66345,Actual
2019,Europe,Petrol,Automatic,3 Series,59762,Actual
2020,Europe,Petrol,Automatic,3 Series,79615,Actual
2021,Europe,Petrol,Automatic,3 Series,71202,Actual
2022,Europe,Petrol,Automatic,3 Series,56783,Actual
2023,Europe,Petrol,Automatic,3 Series,66516,Actual
2024,Europe,Petrol,Automatic,3 Series,83568,Actual
2025,Europe,Petrol,Automatic,3 Series,78308,Forecast
2026,Europe,Petrol,Automatic,3 Series,81743,Forecast
2027,Europe,Petrol,Automatic,3 Series,85177,Forecast
2010,Europe,Petrol,Manual,3 Series,88148,Actual
2011,Europe,Petrol,Manual,3 Series,72043,Actual
2012,Europe,Petrol,Manual,3 Series,68488,Actual
2013,Europe,Petrol,Manual,3 Series,62796,Actual
2014,Europe,Petrol,Manual,3 Series,51593,Actual
2015,Europe,Petrol,Manual,3 Series,64985,Actual
2016,Europe,Petrol,Manual,3 Series,84162,Actual
2017,Europe,Petrol,Manual,3 Series,93484,Actual
2018,Europe,Petrol,Manual,3 Series,80540,Actual
2019,Europe,Petrol,Manual,3 Series,106285,Actual
2020,Europe,Petrol,Manual,3 Series,90553,Actual
2021,Europe,Petrol,Manual,3 Series,94389,Actual
2022,Europe,Petrol,Manual,3 Series,71932,Actual
2023,Europe,Petrol,Manual,3 Series,66991,Actual
2024,Europe,Petrol,Manual,3 Series,75692,Actual
2025,Europe,Petrol,Manual,3 Series,66710,Forecast
2026,Europe,Petrol,Manual,3 Series,62235,Forecast
2027,Europe,Petrol,Manual,3 Series,57759,Forecast
2010,Europe,Diesel,Automatic,5 Series,79616,Actual
2011,Europe,Diesel,Automatic,5 Series,79145,Actual
2012,Europe,Diesel,Automatic,5 Series,69514,Actual
2013,Europe,Diesel,Automatic,5 Series,65815,Actual
2014,Europe,Diesel,Automatic,5 Series,81398,Actual
2015,Europe,Diesel,Automatic,5 Series,71167,Actual
2016,Europe,Diesel,Automatic,5 Series,73808,Actual
2017,Europe,Diesel,Automatic,5 Series,71659,Actual
2018,Europe,Diesel,Automatic,5 Series,72464,Actual
2019,Europe,Diesel,Automatic,5 Series,78520,Actual
2020,Europe,Diesel,Automatic,5 Series,71692,Actual
2021,Europe,Diesel,Automatic,5 Series,81437,Actual
2022,Europe,Diesel,Automatic,5 Series,89672,Actual
2023,Europe,Diesel,Automatic,5 Series,89928,Actual
2024,Europe,Diesel,Automatic,5 Series,71294,Actual
2025,Europe,Diesel,Automatic,5 Series,78986,Forecast
2026,Europe,Diesel,Automatic,5 Series,77598,Forecast
2027,Europe,Diesel,Automatic,5 Series,76210,Forecast
2010,Europe,Diesel,Manual,5 Series,103453,Actual
2011,Europe,Diesel,Manual,5 Series,79414,Actual
2012,Europe,Diesel,Manual,5 Series,78614,Actual
2013,Europe,Diesel,Manual,5 Series,87394,Actual
2014,Europe,Diesel,Manual,5 Series,71387,Actual
2015,Europe,Diesel,Manual,5 Series,82777,Actual
2016,Europe,Diesel,Manual,5 Series,82563,Actual
2017,Europe,Diesel,Manual,5 Series,84988,Actual
2018,Europe,Diesel,Manual,5 Series,64889,Actual
2019,Europe,Diesel,Manual,5 Series,55988,Actual
2020,Europe,Diesel,Manual,5 Series,81499,Actual
2021,Europe,Diesel,Manual,5 Series,77795,Actual
2022,Europe,Diesel,Manual,5 Series,90113,Actual
2023,Europe,Diesel,Manual,5 Series,90185,Actual
2024,Europe,Diesel,Manual,5 Series,73273,Actual
2025,Europe,Diesel,Manual,5 Series,81737,Forecast
2026,Europe,Diesel,Manual,5 Series,81545,Forecast
2027,Europe,Diesel,Manual,5 Series,81353,Forecast
2010,Europe,Electric,Automatic,5 Series,77890,Actual
2011,Europe,Electric,Automatic,5 Series,61893,Actual
2012,Europe,Electric,Automatic,5 Series,75601,Actual
2013,Europe,Electric,Automatic,5 Series,60836,Actual
2014,Europe,Electric,Automatic,5 Series,89886,Actual
2015,Europe,Electric,Automatic,5 Series,75611,Actual
2016,Europe,Electric,Automatic,5 Series,50691,Actual
2017,Europe,Electric,Automatic,5 Series,76939,Actual
2018,Europe,Electric,Automatic,5 Series,57825,Actual
2019,Europe,Electric,Automatic,5 Series,84971,Actual
2020,Europe,Electric,Automatic,5 Series,80529,Actual
2021,Europe,Electric,Automatic,5 Series,72813,Actual
2022,Europe,Electric,Automatic,5 Series,75551,Actual
2023,Europe,Electric,Automatic,5 Series,76149,Actual
2024,Europe,Electric,Automatic,5 Series,89845,Actual
2025,Europe,Electric,Automatic,5 Series,88152,Forecast
2026,Europe,Electric,Automatic,5 Series,91610,Forecast
2027,Europe,Electric,Automatic,5 Series,95068,Forecast
2010,Europe,Electric,Manual,5 Series,64978,Actual
2011,Europe,Electric,Manual,5 Series,54596,Actual
2012,Europe,Electric,Manual,5 Series,80654,Actual
2013,Europe,Electric,Manual,5 Series,88751,Actual
2014,Europe,Electric,Manual,5 Series,76674,Actual
2015,Europe,Electric,Manual,5 Series,69071,Actual
2016,Europe,Electric,Manual,5 Series,78657,Actual
2017,Europe,Electric,Manual,5 Series,73665,Actual
2018,Europe,Electric,Manual,5 Series,61043,Actual
2019,Europe,Electric,Manual,5 Series,80561,Actual
2020,Europe,Electric,Manual,5 Series,77650,Actual
2021,Europe,Electric,Manual,5 Series,74421,Actual
2022,Europe,Electric,Manual,5 Series,60196,Actual
2023,Europe,Electric,Manual,5 Series,83322,Actual
2024,Europe,Electric,Manual,5 Series,79736,Actual
2025,Europe,Electric,Manual,5 Series,80831,Forecast
2026,Europe,Electric,Manual,5 Series,83059,Forecast
2027,Europe,Electric,Manual,5 Series,85287,Forecast
2010,Europe,Hybrid,Automatic,5 Series,64015,Actual
2011,Europe,Hybrid,Automatic,5 Series,68249,Actual
2012,Europe,Hybrid,Automatic,5 Series,82130,Actual
2013,Europe,Hybrid,Automatic,5 Series,98676,Actual
2014,Europe,Hybrid,Automatic,5 Series,55202,Actual
2015,Europe,Hybrid,Automatic,5 Series,74130,Actual
2016,Europe,Hybrid,Automatic,5 Series,71375,Actual
2017,Europe,Hybrid,Automatic,5 Series,62129,Actual
2018,Europe,Hybrid,Automatic,5 Series,77968,Actual
2019,Europe,Hybrid,Automatic,5 Series,79851,Actual
2020,Europe,Hybrid,Automatic,5 Series,88949,Actual
2021,Europe,Hybrid,Automatic,5 Series,69079,Actual
2022,Europe,Hybrid,Automatic,5 Series,87983,Actual
2023,Europe,Hybrid,Automatic,5 Series,84873,Actual
2024,Europe,Hybrid,Automatic,5 Series,67336,Actual
2025,Europe,Hybrid,Automatic,5 Series,72667,Forecast
2026,Europe,Hybrid,Automatic,5 Series,69948,Forecast
2027,Europe,Hybrid,Automatic,5 Series,67230,Forecast
2010,Europe,Hybrid,Manual,5 Series,69989,Actual
2011,Europe,Hybrid,Manual,5 Series,76515,Actual
2012,Europe,Hybrid,Manual,5 Series,73143,Actual
2013,Europe,Hybrid,Manual,5 Series,82074,Actual
2014,Europe,Hybrid,Manual,5 Series,84214,Actual
2015,Europe,Hybrid,Manual,5 Series,77794,Actual
2016,Europe,Hybrid,Manual,5 Series,89361,Actual
2017,Europe,Hybrid,Manual,5 Series,63958,Actual
2018,Europe,Hybrid,Manual,5 Series,60088,Actual
2019,Europe,Hybrid,Manual,5 Series,70205,Actual
2020,Europe,Hybrid,Manual,5 Series,79359,Actual
2021,Europe,Hybrid,Manual,5 Series,71020,Actual
2022,Europe,Hybrid,Manual,5 Series,81297,Actual
2023,Europe,Hybrid,Manual,5 Series,69332,Actual
2024,Europe,Hybrid,Manual,5 Series,87807,Actual
2025,Europe,Hybrid,Manual,5 Series,85425,Forecast
2026,Europe,Hybrid,Manual,5 Series,88723,Forecast
2027,Europe,Hybrid,Manual,5 Series,92021,Forecast
2010,Europe,Petrol,Automatic,5 Series,71515,Actual
2011,Europe,Petrol,Automatic,5 Series,82387,Actual
2012,Europe,Petrol,Automatic,5 Series,63395,Actual
2013,Europe,Petrol,Automatic,5 Series,71694,Actual
2014,Europe,Petrol,Automatic,5 Series,87230,Actual
2015,Europe,Petrol,Automatic,5 Series,71590,Actual
